17066	10565	0.864
17066	43761	0.418
17066	17065	0.975
17066	24920	0.805
17066	10447	0.799
17066	33702	0.890
17066	85627	0.534
17066	79153	0.882
17066	6847	0.489
17066	6846	0.689
17066	6845	0.671
17066	6844	0.673
17066	112308	0.371
17066	70444	0.871
17066	43739	0.846
17066	109126	0.611
17066	42029	0.525
17066	109125	0.701
17066	70442	0.883
17066	70443	0.866
17066	112862	0.796
17066	86148	0.800
17066	94948	0.644
17066	49683	0.761
17066	46317	0.623
17066	30558	0.714
17066	30559	0.671
17066	31391	0.760
17066	54577	0.860
17066	83342	0.528
17066	29315	0.857
17066	37440	0.901
17066	51123	0.865
17066	97050	0.377
17066	38206	0.641
17066	6856	0.700
17066	6857	0.688
17066	6858	0.707
17066	6859	0.700
17066	6860	0.654
17066	14650	0.453
17066	22415	0.868
17066	6853	0.658
17066	6854	0.702
17066	6855	0.731
17066	109190	0.483
17066	18921	0.426
17066	109191	0.459
17066	109192	0.512
17066	42237	0.448
17066	106658	0.992
17066	9817	0.429
17066	101555	0.741
17066	108104	0.690
17066	11846	0.419
17066	74850	0.515
10565	17066	0.864
10565	43761	0.704
10565	17065	0.818
10565	24920	0.935
10565	10447	0.939
10565	33702	0.888
10565	85627	0.802
10565	79153	0.977
10565	6847	0.759
10565	6846	0.915
10565	6845	0.899
10565	6844	0.914
10565	112308	0.638
10565	70444	0.968
10565	43739	0.984
10565	109126	0.855
10565	42029	0.820
10565	109125	0.904
10565	70442	0.969
10565	70443	0.968
10565	112862	0.945
10565	86148	0.952
10565	94948	0.885
10565	49683	0.932
10565	46317	0.875
10565	30558	0.946
10565	30559	0.894
10565	31391	0.914
10565	54577	0.971
10565	83342	0.823
10565	29315	0.991
10565	37440	0.945
10565	51123	0.944
10565	97050	0.352
10565	38206	0.901
10565	6856	0.913
10565	6857	0.912
10565	6858	0.912
10565	6859	0.920
10565	6860	0.892
10565	14650	0.735
10565	22415	0.935
10565	6853	0.898
10565	6854	0.924
10565	6855	0.937
10565	109190	0.793
10565	18921	0.601
10565	109191	0.759
10565	109192	0.805
10565	42237	0.754
10565	106658	0.868
10565	9817	0.718
10565	101555	0.937
10565	108104	0.869
10565	11846	0.688
10565	74850	0.814
43761	17066	0.418
43761	10565	0.704
43761	17065	0.411
43761	24920	0.824
43761	10447	0.716
43761	33702	0.417
43761	85627	0.885
43761	79153	0.717
43761	6847	0.970
43761	6846	0.892
